;Tc(K);Pc(Pa);υc(m3 mol-1);ω
Elements;;;;
Argon;150.8;4870000;0.0000749;0.001
Bromine;588;10300000;0.0001272;0.108
Chlorine;416.9;7980000;0.0001238;0.09
Fluorine;144.3;5220000;0.0000663;0.054
Helium-4;5.19;227000;0.0000574;-0.365
Hydrogen;33;1290000;0.0000643;-0.216
Iodine;819;11650000;0.000155;0.229
Krypton;209.4;5500000;0.0000912;0.005
Neon;44.4;2760000;0.0000416;-0.029
Nitrogen;126.2;3390000;0.0000898;0.039
Oxygen;154.6;5040000;0.0000734;0.025
Xenon;289.7;5840000;0.0001184;0.008
Hydrocarbons;;;;
Acetylene;308.3;6140000;0.0001127;0.19
Benzene;562.1;4890000;0.000259;0.212
n-Butane;425.2;3800000;0.000255;0.199
1-Butene;419.6;4020000;0.00024;0.191
Cyclobutane;460;4990000;0.00021;0.181
Cyclohexane;553.8;4070000;0.000308;0.212
Cyclopropane;397.8;5490000;0.000163;0.13
Ethane;305.4;4880000;0.0001483;0.099
Ethylene;282.4;5040000;0.0001304;0.089
n-Heptane;540.3;2740000;0.000432;0.349
n-Hexane;507.5;3010000;0.00037;0.299
Isobutane;408.2;3650000;0.000263;0.183
Isobutylene;417.9;4000000;0.000239;0.194
Isopentane;460.4;3390000;0.000306;0.227
Methane;190.4;4600000;0.0000992;0.011
Naphthalene;748.4;4050000;0.000413;0.302
n-Octane;568.8;2490000;0.000492;0.398
n-Pentane;469.7;3370000;0.000304;0.251
Propadiene;393;5470000;0.000162;0.313
Propane;369.8;4250000;0.000203;0.153
Propylene;364.9;4600000;0.000181;0.144
Toluene;591.8;4100000;0.000316;0.263
m-Xylene;617.1;3540000;0.000376;0.325
o-Xylene;630.3;3730000;0.000369;0.31
p-Xylene;616.2;3510000;0.000379;0.32
Miscellaneous inorganic compounds;;;;
Ammonia;405.5;11350000;0.0000725;0.25
Carbon dioxide;304.1;7380000;0.0000939;0.239
Carbon disulfide;552;7900000;0.00016;0.109
Carbon monoxide;132.9;3500000;0.0000932;0.066
Carbon tetrachloride;556.4;4560000;0.0002759;0.193
Carbon tetrafluoride;227.6;3740000;0.0001396;0.177
Chloroform;536.4;5370000;0.0002389;0.218
Hydrazine;653;14700000;0.0000961;0.316
Hydrogen chloride;324.7;8310000;0.0000809;0.133
Hydrogen fluoride;461;6480000;0.0000692;0.329
Hydrogen sulfide;373.2;8940000;0.0000986;0.081
Nitric oxide;180;6480000;0.0000577;0.588
Nitrous oxide;309.6;7240000;0.0000974;0.165
Sulfur dioxide;430.8;7880000;0.0001222;0.256
Sulfur trioxide;491;8210000;0.0001273;0.481
Water;647.3;22120000;0.0000571;0.344
Miscellaneous organic compounds;;;;
Acetaldehyde;461;5570000;0.000154;0.303
Acetic acid;592.7;5790000;0.000171;0.447
Acetone;508.1;4700000;0.000209;0.304
Acetonitrile;545.5;4830000;0.000173;0.278
Aniline;699;5310000;0.000274;0.384
n-Butanol;563.1;4420000;0.000275;0.593
Chlorobenzene;632.4;4520000;0.000308;0.249
Dichlorodifluoromethane (Freon 12);385;4140000;0.0002167;0.204
Diethyl ether;466.7;3640000;0.00028;0.281
Dimethyl ether;400;5240000;0.000178;0.2
Ethanol;513.9;6140000;0.0001671;0.644
Ethylene oxide;469;7190000;0.00014;0.202
Isobutanol;547.8;4300000;0.000273;0.592
Isopropyl alcohol;508.3;4760000;0.00022;0.665
Methanol;512.6;8090000;0.000118;0.556
Methyl chloride;416.3;6700000;0.0001389;0.153
Methyl ethyl ketone;536.8;4210000;0.000267;0.32
Phenol;694.2;6130000;0.000229;0.438
1-Propanol;536.8;5170000;0.000219;0.623
Pyridine;620;5630000;0.000254;0.243
Trichlorotrifluoroethane (Freon 113);487.3;3410000;0.0003255;0.256
Trichlorofluoromethane (Freon 11);471.2;4410000;0.0002478;0.189
Trimethylamine;433.3;4090000;0.000254;0.205